,scores
0,77
1,75
2,62
3,86
4,62
5,69
6,69
7,76
8,66
9,69
10,63
11,64
12,61
13,67
14,70
15,67
16,69
17,63
18,61
19,67
20,66
21,61
22,71
23,64
24,64
25,97
26,62
27,65
28,62
29,67
30,74
31,64
32,73
33,74
34,68
35,65
36,82
37,70
38,68
39,75
40,62
41,61
42,67
43,61
44,71
45,61
46,64
47,72
48,71
49,71
50,62
51,66
52,77
53,65
54,61
55,61
56,67
57,71
58,91
59,64
60,74
61,72
62,71
63,66
64,61
65,65
66,69
67,66
68,65
69,89
70,66
71,68
72,66
73,61
74,62
75,66
76,62
77,61
78,65
79,61
80,88
81,72
82,85
83,72
84,61
85,64
86,67
87,77
88,77
89,63
90,70
91,61
92,74
93,76
94,69
95,69
96,61
97,67
98,70
99,62
