,scores
0,67
1,77
2,76
3,97
4,97
5,97
6,97
7,101
8,118
9,109
10,111
11,111
12,131
13,123
14,133
15,170
16,140
17,133
18,166
19,160
20,174
21,133
22,179
23,168
24,174
25,182
26,196
27,187
28,174
29,183
30,210
31,183
32,174
33,186
34,174
35,174
36,210
37,187
38,197
39,188
40,179
41,205
42,182
43,205
44,188
45,206
46,217
47,210
48,226
49,246
50,209
51,210
52,210
53,210
54,246
55,210
56,210
57,246
58,233
59,246
60,246
61,277
62,246
63,359
64,287
65,323
66,323
67,270
68,287
69,283
70,287
71,400
72,400
73,394
74,436
75,436
76,359
77,436
78,472
79,513
80,513
81,513
82,585
83,513
84,572
85,888
86,662
87,946
88,698
89,775
90,775
91,852
92,662
93,965
94,1145
95,888
96,775
97,1304
98,1150
99,1191
